date,rada_code,hromada_code
2020-08-16,7422284500,UA74060050000061355
2020-08-16,7422286000,UA74060050000061355
2020-08-16,7422287000,UA74060050000061355
2020-08-16,7422287400,UA74060050000061355
2020-08-16,7422288600,UA74060050000061355
2020-08-16,7424980500,UA74060050000061355
2020-08-16,7424988500,UA74060050000061355
2018-06-22,7410500000,UA74060030000026607
2018-06-22,7423682800,UA74060030000026607
2020-08-16,7410500000,UA74060030000026607
2020-08-16,7423680800,UA74060030000026607
2020-08-16,7423681200,UA74060030000026607
2020-08-16,7423681600,UA74060030000026607
2020-08-16,7423682000,UA74060030000026607
2020-08-16,7423682400,UA74060030000026607
2020-08-16,7423682800,UA74060030000026607
2020-08-16,7423683200,UA74060030000026607
2020-08-16,7423683600,UA74060030000026607
2020-08-16,7423684000,UA74060030000026607
2020-08-16,7423684300,UA74060030000026607
2020-08-16,7423684700,UA74060030000026607
2020-08-16,7423685000,UA74060030000026607
2020-08-16,7423685400,UA74060030000026607
2020-08-16,7423685800,UA74060030000026607
2020-08-16,7423686200,UA74060030000026607
2020-08-16,7423686600,UA74060030000026607
2020-08-16,7423687000,UA74060030000026607
2020-08-16,7423687400,UA74060030000026607
2020-08-16,7423687800,UA74060030000026607
2020-08-16,7423688100,UA74060030000026607
2020-08-16,7423688500,UA74060030000026607
2020-08-16,7423688900,UA74060030000026607
2020-08-16,7423689300,UA74060030000026607
2020-08-16,7423689800,UA74060030000026607
2016-10-09,7422255100,UA74060010000052907
2016-10-09,7422280500,UA74060010000052907
2016-10-09,7422280700,UA74060010000052907
2016-10-09,7422281500,UA74060010000052907
2016-10-09,7422282000,UA74060010000052907
2016-10-09,7422282500,UA74060010000052907
2016-10-09,7422283000,UA74060010000052907
2016-10-09,7422283300,UA74060010000052907
2016-10-09,7422283500,UA74060010000052907
2016-10-09,7422284300,UA74060010000052907
2016-10-09,7422285000,UA74060010000052907
2016-10-09,7422285500,UA74060010000052907
2016-10-09,7422286500,UA74060010000052907
2016-10-09,7422288200,UA74060010000052907
2016-10-09,7422288300,UA74060010000052907
2016-10-09,7422289000,UA74060010000052907
2016-10-09,7422289500,UA74060010000052907
2020-08-16,7422255100,UA74060010000052907
2020-08-16,7422280500,UA74060010000052907
2020-08-16,7422280700,UA74060010000052907
2020-08-16,7422281500,UA74060010000052907
2020-08-16,7422282000,UA74060010000052907
2020-08-16,7422282500,UA74060010000052907
2020-08-16,7422283000,UA74060010000052907
2020-08-16,7422283300,UA74060010000052907
