register_number,contract_name,register_date,main_municipality,cooperation_form,start,end,municipality_num,settlement,raion,oblast,key,settlement_name,settlement_code,hromada_code,hromada_name
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,13,с. Жабокрич,Крижопільський,Вінницька,Вінницька Крижопільський с. Жабокрич,Жабокрич,0521982401,UA05100070000035159,Крижопільська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,14,с.Андріяшівка,Крижопільський,Вінницька,Вінницька Крижопільський с. Андріяшівка,Андріяшівка,0521980201,UA05100050000038768,Городківська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,15,с.Голубече,Крижопільський,Вінницька,Вінницька Крижопільський с. Голубече,Голубече,0521980801,UA05100070000035159,Крижопільська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,16,с.Соколівка,Крижопільський,Вінницька,Вінницька Крижопільський с. Соколівка,Соколівка,0521986201,UA05100070000035159,Крижопільська
371,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Кісницька сільська рада (с. Кісниця, вул. 1-го травня,5, Крижопільський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,17,с. Савчине,Крижопільський,Вінницька,Вінницька Крижопільський с. Савчине,Савчине,0521986001,UA05100050000038768,Городківська
372,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Дмитрашівська сільська рада (с. Дмитрашівка, вул. Т.Шевченка, 58, Піщанський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,2,с. Красносілка,Крижопільський,Вінницька,Вінницька Крижопільський с. Красносілка,Красносілка,0521984201,UA05100070000035159,Крижопільська
372,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Дмитрашівська сільська рада (с. Дмитрашівка, вул. Т.Шевченка, 58, Піщанський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,3,с. Тернівка,Крижопільський,Вінницька,Вінницька Крижопільський с. Тернівка,Тернівка,0521986401,UA05100070000035159,Крижопільська
372,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Дмитрашівська сільська рада (с. Дмитрашівка, вул. Т.Шевченка, 58, Піщанський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,4,с. Заболотне,Крижопільський,Вінницька,Вінницька Крижопільський с. Заболотне,Заболотне,0521982601,UA05100070000035159,Крижопільська
372,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Дмитрашівська сільська рада (с. Дмитрашівка, вул. Т.Шевченка, 58, Піщанський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,5,с. Голубече,Крижопільський,Вінницька,Вінницька Крижопільський с. Голубече,Голубече,0521980801,UA05100070000035159,Крижопільська
372,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Дмитрашівська сільська рада (с. Дмитрашівка, вул. Т.Шевченка, 58, Піщанський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,7,с. Кукули,Піщанський,Вінницька,Вінницька Піщанський с. Кукули,Кукули,0523281601,UA05100110000070795,Студенянська
372,Договір про співробітництво територіальних громад у формі реалізації спільного проекту,2019-03-25T00:00:00Z,"Дмитрашівська сільська рада (с. Дмитрашівка, вул. Т.Шевченка, 58, Піщанський р-н, Вінницька обл., тел. (04340) 273-42)","Реалізація спільних проектів, що передбачає координацію діяльності суб’єктів співробітництва та акумулювання ними на визначений період ресурсів з метою спільного здійснення відповідних заходів",2019-06-30,2019-12-31,8,с. Миролюбівка,Піщанський,Вінницька,Вінницька Піщанський с. Миролюбівка,Миролюбівка,0523282001,UA05100090000029847,Піщанська
