object_name_ua,Persons,object_name_en,oblast,raion,settlement_type,settlement_name,key,hromada_name,hromada_code
смт Васильківка,11242,stlmt Vasylkivka,Дніпропетровська,Синельниківський,селище міського типу,Васильківка,Дніпропетровська Синельниківський селище міського типу Васильківка,Васильківська,UA12140030000091432
смт Васильківка,11242,stlmt Vasylkivka,Дніпропетровська,Синельниківський,селище міського типу,Васильківка,Дніпропетровська Синельниківський селище міського типу Васильківка,Васильківська,UA12140030000091432
смт Демурине,966,stlmt Demuryne,Дніпропетровська,Синельниківський,селище міського типу,Демурине,Дніпропетровська Синельниківський селище міського типу Демурине,Межівська,UA12140150000054570
смт Залізничне,189,stlmt Zaliznychne,Дніпропетровська,Синельниківський,селище міського типу,Залізничне,Дніпропетровська Синельниківський селище міського типу Залізничне,Петропавлівська,UA12140230000057328
смт Іларіонове,8610,stlmt Ilarionove,Дніпропетровська,Синельниківський,селище міського типу,Іларіонове,Дніпропетровська Синельниківський селище міського типу Іларіонове,Іларіонівська,UA12140110000060935
смт Іларіонове,8610,stlmt Ilarionove,Дніпропетровська,Синельниківський,селище міського типу,Іларіонове,Дніпропетровська Синельниківський селище міського типу Іларіонове,Іларіонівська,UA12140110000060935
смт Межова,7022,stlmt Mezhova,Дніпропетровська,Синельниківський,селище міського типу,Межова,Дніпропетровська Синельниківський селище міського типу Межова,Межівська,UA12140150000054570
смт Межова,7022,stlmt Mezhova,Дніпропетровська,Синельниківський,селище міського типу,Межова,Дніпропетровська Синельниківський селище міського типу Межова,Межівська,UA12140150000054570
смт Петропавлівка,6651,stlmt Petropavlivka,Дніпропетровська,Синельниківський,селище міського типу,Петропавлівка,Дніпропетровська Синельниківський селище міського типу Петропавлівка,Петропавлівська,UA12140230000057328
смт Письменне,1147,stlmt Pysmenne,Дніпропетровська,Синельниківський,селище міського типу,Письменне,Дніпропетровська Синельниківський селище міського типу Письменне,Васильківська,UA12140030000091432
смт Покровське,9489,stlmt Pokrovske,Дніпропетровська,Синельниківський,селище міського типу,Покровське,Дніпропетровська Синельниківський селище міського типу Покровське,Покровська,UA12140250000015858
смт Просяна,4547,stlmt Prosiana,Дніпропетровська,Синельниківський,селище міського типу,Просяна,Дніпропетровська Синельниківський селище міського типу Просяна,Маломихайлівська,UA12140130000052990
смт Роздори,1633,stlmt Rozdory,Дніпропетровська,Синельниківський,селище міського типу,Роздори,Дніпропетровська Синельниківський селище міського типу Роздори,Роздорська,UA12140290000032227
смт Сад,496,stlmt Sad,Дніпропетровська,Синельниківський,селище міського типу,Сад,Дніпропетровська Синельниківський селище міського типу Сад,Іларіонівська,UA12140110000060935
смт Славгород,2099,stlmt Slavhorod,Дніпропетровська,Синельниківський,селище міського типу,Славгород,Дніпропетровська Синельниківський селище міського типу Славгород,Славгородська,UA12140330000063909
смт Чаплине,3630,stlmt Chaplyne,Дніпропетровська,Синельниківський,селище міського типу,Чаплине,Дніпропетровська Синельниківський селище міського типу Чаплине,Дубовиківська,UA12140070000025486
м. Бахмут,71094,city Bakhmut,Донецька,Бахмутський,місто,Бахмут,Донецька Бахмутський місто Бахмут,Бахмутська,UA14020010000088496
м. Залізне,4928,city Zalizne,Донецька,Бахмутський,місто,Залізне,Донецька Бахмутський місто Залізне,Торецька,UA14020110000075529
м. Світлодарськ,11127,city Svitlodarsk,Донецька,Бахмутський,місто,Світлодарськ,Донецька Бахмутський місто Світлодарськ,Світлодарська,UA14020050000019803
м. Сіверськ,10875,city Siversk,Донецька,Бахмутський,місто,Сіверськ,Донецька Бахмутський місто Сіверськ,Сіверська,UA14020070000070354
м. Соледар,10490,city Soledar,Донецька,Бахмутський,місто,Соледар,Донецька Бахмутський місто Соледар,Соледарська,UA14020090000073988
м. Торецьк,30914,city Toretsk,Донецька,Бахмутський,місто,Торецьк,Донецька Бахмутський місто Торецьк,Торецька,UA14020110000075529
м. Часів Яр,12250,city Chasiv Yar,Донецька,Бахмутський,місто,Часів Яр,Донецька Бахмутський місто Часів Яр,Часовоярська,UA14020130000080900
смт Зайцеве,3919,stlmt Zaitseve,Донецька,Бахмутський,селище міського типу,Зайцеве,Донецька Бахмутський селище міського типу Зайцеве,Світлодарська,UA14020050000019803
смт Красна Гора,584,stlmt Krasna Hora,Донецька,Бахмутський,селище міського типу,Красна Гора,Донецька Бахмутський селище міського типу Красна Гора,Бахмутська,UA14020010000088496
