hromada_code,hromada_name,year,budget_planned,budget_executed,budget_executed_2015
UA73020090000031499,Вижницька,2015,3597.269,3597.269,3597.269
UA73020090000031499,Вижницька,2018,2408.7,2408.7,1584.6710526315787
UA73020130000092871,Путильська,2015,2910.956,2606.815,2606.815
UA73020130000092871,Путильська,2017,5400,5399.705,4354.600806451613
UA73020130000092871,Путильська,2018,8355.118999999999,6453.0070000000005,4245.399342105264
UA73020130000092871,Путильська,2019,1153.457,1149.833,714.1819875776398
UA73020150000076225,Селятинська,2021,4184.427,4144.577,2103.846192893401
UA73020170000016631,Усть-Путильська,2016,8240.732,7801.78845,7157.604082568807
UA73020170000016631,Усть-Путильська,2018,9000,6000,3947.3684210526317
UA73020170000016631,Усть-Путильська,2019,18000,18000,11180.124223602485
UA73020170000016631,Усть-Путильська,2020,19443.225,17096.494,10237.421556886227
UA73020170000016631,Усть-Путильська,2021,1478.364,1478.363,750.4380710659899
UA73040030000042378,Кельменецька,2015,8831.733,8386.657,8386.657
UA73040030000042378,Кельменецька,2016,8500,8500,7798.165137614678
UA73040030000042378,Кельменецька,2017,9540.685,9540.685,7694.100806451613
UA73040030000042378,Кельменецька,2018,8966.539,4743.777,3120.9059210526316
UA73040030000042378,Кельменецька,2019,3800.486,3800.486,2360.550310559006
UA73040050000080963,Клішковецька,2017,930,930,750
UA73040070000053425,Лівинецька,2017,1235.535,1235.535,996.3991935483872
UA73040090000036527,Мамалигівська,2018,5000,2500,1644.7368421052631
UA73040090000036527,Мамалигівська,2019,13620.956,13620.956,8460.221118012421
UA73040110000040354,Недобоївська,2019,2566.644,2566.644,1594.188819875776
UA73040110000040354,Недобоївська,2020,4929.272,4929.272,2951.659880239521
